◇ injected env (20) from .env.local // tip: ◈ secrets for agents [www.dotenvx.com]
◇ injected env (4) from .env // tip: ⌘ multiple files { path: ['.env.local', '.env'] }
(node:14735) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
#657 (657) BM71187 SKIP — already imported
#669 (669) BJ45489 SKIP — already imported
prisma:error 
Invalid `prisma.invoice.create()` invocation in
/Users/ghim/Projects/gvcounseling/scripts/import-maria-invoices.ts:666:28

  663 }
  664 
  665 if (!dryRun) {
→ 666   await prisma.invoice.create(
Unique constraint failed on the fields: (`"therapistId"`, `"invoiceNumber"`)
PrismaClientKnownRequestError: 
Invalid `prisma.invoice.create()` invocation in
/Users/ghim/Projects/gvcounseling/scripts/import-maria-invoices.ts:666:28

  663 }
  664 
  665 if (!dryRun) {
→ 666   await prisma.invoice.create(
Unique constraint failed on the fields: (`"therapistId"`, `"invoiceNumber"`)
    at zr.handleRequestError (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client/src/runtime/RequestHandler.ts:237:13)
    at zr.handleAndLogRequestError (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client/src/runtime/RequestHandler.ts:183:12)
    at zr.request (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client/src/runtime/RequestHandler.ts:152:12)
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
    at async a (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client/src/runtime/getPrismaClient.ts:963:24)
    at async main (/Users/ghim/Projects/gvcounseling/scripts/import-maria-invoices.ts:666:7) {
  code: 'P2002',
  meta: {
    modelName: 'Invoice',
    driverAdapterError: DriverAdapterError: UniqueConstraintViolation
        at PgTransaction.onError (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/adapter-pg/dist/index.js:678:11)
        at PgTransaction.performIO (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/adapter-pg/dist/index.js:673:12)
        at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
        at async PgTransaction.queryRaw (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/adapter-pg/dist/index.js:604:30)
        at async e.interpretNode (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client-engine-runtime/src/interpreter/query-interpreter.ts:186:26)
        at async e.interpretNode (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client-engine-runtime/src/interpreter/query-interpreter.ts:213:41)
        at async e.interpretNode (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client-engine-runtime/src/interpreter/query-interpreter.ts:128:29)
        at async e.interpretNode (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client-engine-runtime/src/interpreter/query-interpreter.ts:272:41)
        at async e.interpretNode (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client-engine-runtime/src/interpreter/query-interpreter.ts:262:25)
        at async e.run (/Users/ghim/Projects/gvcounseling/node_modules/@prisma/client-engine-runtime/src/interpreter/query-interpreter.ts:94:23) {
      cause: [Object]
    }
  },
  clientVersion: '7.8.0'
}
